target,model,metric,n_countries,base_mean,local_mean,mean_delta,median_delta,relative_delta_pct,countries_improved,countries_worse,countries_equal
extreme_abs_151_h1,xgboost,pr_auc,24,0.3860002061230918,0.4125669934032078,0.026566787280115987,0.01869039495201863,6.882583702984887,21,0,0
extreme_abs_151_h1,xgboost,roc_auc,24,0.834200983514011,0.8757612370336377,0.04156025351962663,0.02285563976566163,4.982043217517808,20,1,0
extreme_abs_151_h1,xgboost,f1,24,0.2728317765069452,0.28528575909518306,0.0124539825882379,0.0,4.564711173927672,11,3,10
extreme_abs_151_h1,xgboost,recall,24,0.26431014261677893,0.2778620285573136,0.013551885940534634,0.0,5.127266705078132,11,3,10
extreme_abs_151_h1,xgboost,precision,24,0.3265809667926024,0.3551565460401271,0.02857557924752466,0.0,8.74992181209133,10,4,10
extreme_abs_151_h1,xgboost,balanced_accuracy,24,0.6710957034623947,0.6770364181843146,0.005940714721920102,0.0009141595824929682,0.8852261594389712,15,2,7
extreme_abs_151_h1,xgboost,false_alarm_rate,24,0.04711873569198984,0.04878919218868425,0.0016704564966944044,-4.014774369680424e-05,3.545206534432504,5,12,7
extreme_abs_151_h1,xgboost,missed_event_rate,24,0.610689857383221,0.5971379714426863,-0.013551885940534622,0.0,-2.219111022836347,3,11,10
extreme_abs_151_h3,xgboost,pr_auc,24,0.33042792598652926,0.3785524161728084,0.04812449018627914,0.025405285789571498,14.564292664610027,20,1,0
extreme_abs_151_h3,xgboost,roc_auc,24,0.7833628505313167,0.8564829696028288,0.07312011907151195,0.046050429505697155,9.334131561372631,20,1,0
extreme_abs_151_h3,xgboost,f1,24,0.22996447248751747,0.25361636051173236,0.023651888024214942,0.008943281082244903,10.285018276246463,13,1,10
extreme_abs_151_h3,xgboost,recall,24,0.21491478195048153,0.24446536170106783,0.02955057975058634,0.00041220115416323866,13.749905652090083,12,2,10
extreme_abs_151_h3,xgboost,precision,24,0.2979192157378774,0.3327942021990787,0.03487498646120129,0.0,11.706188999868292,8,6,10
extreme_abs_151_h3,xgboost,balanced_accuracy,24,0.6456020315379111,0.6607116545797435,0.015109623041832538,0.004470779177412898,2.3403927347997,15,1,8
extreme_abs_151_h3,xgboost,false_alarm_rate,24,0.04871071887465949,0.04804205254158076,-0.0006686663330787284,0.0,-1.3727293469006572,7,9,8
extreme_abs_151_h3,xgboost,missed_event_rate,24,0.6600852180495185,0.6305346382989322,-0.02955057975058635,-0.00041220115416323866,-4.476782533913601,2,12,10
extreme_abs_151_h1,random_forest,pr_auc,24,0.39531251363900344,0.4083434750469379,0.013030961407934355,0.0084618266627138,3.296369570489776,19,2,0
extreme_abs_151_h1,random_forest,roc_auc,24,0.8492998525719957,0.8339592887400891,-0.015340563831906425,0.00504228672080409,-1.8062600370704758,18,3,0
extreme_abs_151_h1,random_forest,f1,24,0.34056870816754586,0.34159580139564305,0.0010270932280971687,0.002344464260561341,0.3015817964085769,14,5,5
extreme_abs_151_h1,random_forest,recall,24,0.4128430119360547,0.40599008929474345,-0.006852922641311272,0.0,-1.6599342711831397,9,7,8
extreme_abs_151_h1,random_forest,precision,24,0.3141482958478177,0.31713383527992234,0.0029855394321045684,0.00509076775504011,0.9503599005836555,16,3,5
extreme_abs_151_h1,random_forest,balanced_accuracy,24,0.708602298902442,0.7065402022391876,-0.0020620966632544416,0.0,-0.2910090281175258,11,8,5
extreme_abs_151_h1,random_forest,false_alarm_rate,24,0.12063841413117064,0.11790968481636825,-0.0027287293148024042,-0.0011685993940066287,-2.26190748150539,3,16,5
extreme_abs_151_h1,random_forest,missed_event_rate,24,0.4621569880639453,0.4690099107052565,0.00685292264131127,0.0,1.4828127277744594,7,9,8
