target,model,temperature,metric,n_countries,wilcoxon_statistic,p_value,mean_delta,median_delta
extreme_abs_151_h3,xgboost,0.5,pr_auc,21,43.0,0.010125160217285156,0.006372060739549619,0.0024222515324492377
extreme_abs_151_h3,xgboost,0.5,roc_auc,21,52.0,0.026330947875976562,0.009471447530549706,0.0033955805137870776
extreme_abs_151_h3,xgboost,0.5,f1,24,28.0,0.221330082993901,-0.003111055053940008,0.0
extreme_abs_151_h3,xgboost,0.5,recall,24,10.0,0.013103614110038467,-0.0061544402700425506,0.0
extreme_abs_151_h3,xgboost,0.5,precision,24,24.0,0.13295729296233563,0.012995897404763604,0.0
extreme_abs_151_h3,xgboost,0.5,balanced_accuracy,24,28.0,0.06914397389751895,-0.0016196034403706538,0.0
extreme_abs_151_h3,xgboost,0.5,false_alarm_rate,24,14.0,0.008984997655215593,-0.0029152333893012147,-0.0004893813735437499
extreme_abs_151_h3,xgboost,0.5,missed_event_rate,24,10.0,0.013103614110038467,0.0061544402700425315,0.0
extreme_abs_151_h3,xgboost,1.0,pr_auc,21,68.0,0.10321426391601562,0.005232683835858404,0.0009380357912662993
extreme_abs_151_h3,xgboost,1.0,roc_auc,21,65.0,0.08219528198242188,0.005830937692393433,0.0018088648423679743
extreme_abs_151_h3,xgboost,1.0,f1,24,34.0,0.421578895217645,-0.0016601178746720711,0.0
extreme_abs_151_h3,xgboost,1.0,recall,24,15.0,0.03304694365260125,-0.00513190464995893,0.0
extreme_abs_151_h3,xgboost,1.0,precision,24,28.0,0.221330082993901,0.009659210297818334,0.0
extreme_abs_151_h3,xgboost,1.0,balanced_accuracy,24,37.0,0.10894087157711466,-0.0012869064419929789,0.0
extreme_abs_151_h3,xgboost,1.0,false_alarm_rate,24,26.0,0.029873144019229032,-0.002558091765972943,-4.071329696278805e-05
extreme_abs_151_h3,xgboost,1.0,missed_event_rate,24,15.0,0.03304694365260125,0.005131904649958945,0.0
extreme_abs_151_h3,xgboost,2.0,pr_auc,21,93.0,0.45236778259277344,0.002236162767898602,0.0001290068826086399
extreme_abs_151_h3,xgboost,2.0,roc_auc,21,88.0,0.35541629791259766,0.0051072996777012354,0.0006876374977640154
extreme_abs_151_h3,xgboost,2.0,f1,24,28.0,0.221330082993901,-0.0022657393162468756,0.0
extreme_abs_151_h3,xgboost,2.0,recall,24,17.0,0.04639946187090464,-0.0037232136315475746,0.0
extreme_abs_151_h3,xgboost,2.0,precision,24,38.0,0.6001794871405539,0.00018112550548278714,0.0
extreme_abs_151_h3,xgboost,2.0,balanced_accuracy,24,43.0,0.19610818609418723,-0.0012967370771023768,0.0
extreme_abs_151_h3,xgboost,2.0,false_alarm_rate,24,47.0,0.27753025059514513,-0.0011297394773428344,0.0
extreme_abs_151_h3,xgboost,2.0,missed_event_rate,24,17.0,0.04639946187090464,0.0037232136315475737,0.0
