dataset,Pollutant,Unit,rows,non_negative_rows,negative_rows,countries,locations,sources,distinct_months,min_value,mean_value,max_value
openaq,PM2.5,µg/m³,7840,7680,160,108,6372,120,95,-9999.0,4.876813298956668,1060.0
openaq,PM10,µg/m³,7225,7179,46,63,6402,88,90,-9999.0,27.323708023169473,1985.0
openaq,NO2,µg/m³,6126,6060,66,51,5803,74,87,-9999.0,8.834501799721073,1010.644
openaq,O3,µg/m³,4898,4885,13,50,4594,70,87,-9999.0,78.3924765882291,2004.076
openaq,SO2,µg/m³,4255,4201,54,51,3970,72,83,-999.0,9.043791891688704,3052.62
openaq,CO,µg/m³,3463,3447,16,45,3204,63,83,-49051.4,9470.45017963973,3198676.0
openaq,O3,ppm,2850,2835,15,21,2275,22,85,-9999.0,-10.884115015929384,0.667
openaq,SO2,ppm,1504,1441,63,14,1068,17,77,-9999.0,-33.18857893464211,49.1814858952
openaq,NO2,ppm,1487,1461,26,15,1143,18,76,-9999.0,-26.71939758247152,72.28909639141
openaq,NO,µg/m³,1485,1382,103,22,1477,21,5,-999.0,-24.7537075670101,805.12
openaq,CO,ppm,1107,1100,7,16,834,21,81,-9999.0,-50.897565126353804,1242.35824166667
openaq,NO,ppm,535,514,21,4,460,3,7,-9.999,-0.012949797142866785,1.7115
openaq,NOX,ppm,450,445,5,4,385,3,6,-9.999,-0.009618785530238275,1.7143
openaq,NOX,µg/m³,115,115,0,4,108,7,2,1.0,15.018294452173912,63.0
openaq,BC,µg/m³,100,98,2,2,98,2,10,-0.67,0.5779888,7.40837
openaq,PM2.5,ppm,6,6,0,1,6,1,1,2.0,5.733333333333333,10.4
openaq,PM1,µg/m³,4,4,0,2,4,2,1,0.75,2.1791665,4.0
waqd2024,PM2.5,µg/m³,9541,9392,149,116,7091,133,101,-9999.0,6.907407110874457,1060.0
waqd2024,PM10,µg/m³,8050,8005,45,71,5612,97,95,-9999.0,27.09155116697359,1985.0
waqd2024,NO2,µg/m³,7085,7023,62,55,4544,78,94,-999.0,13.9402584453481,1010.644
waqd2024,O3,µg/m³,5523,5506,17,52,3673,73,94,-999.0,73.94932192514143,2004.076
waqd2024,SO2,µg/m³,4693,4643,50,55,3479,76,92,-999.0,8.769166842274757,3052.62
waqd2024,CO,µg/m³,3799,3787,12,49,2984,68,92,-49051.4,8713.55765735888,3198676.0
waqd2024,NO2,ppm,2857,2831,26,19,2561,22,83,-9999.0,-13.904753804188786,72.28909639141
waqd2024,O3,ppm,2827,2813,14,26,2304,26,92,-9999.0,-10.968051077465889,13.0
waqd2024,SO2,ppm,2214,2148,66,17,1851,20,82,-9999.0,-22.54438522781312,49.1814858952
waqd2024,NO,ppm,1984,1958,26,5,1894,4,14,-9.999,-0.00231011178721716,1.1344
waqd2024,NOX,ppm,1896,1890,6,5,1817,4,13,-9.999,0.0026500928322673576,1.1363
waqd2024,NO,µg/m³,1879,1814,65,25,508,23,12,-999.0,-12.689329445635977,377.7
waqd2024,CO,ppm,1275,1267,8,20,1087,25,82,-9999.0,-43.74021961440564,1242.35824166667
waqd2024,BC,µg/m³,135,133,2,2,131,2,23,-0.67,0.6944666666666667,5.41701
waqd2024,PM1,µg/m³,124,124,0,17,72,4,2,0.0,22.87214550737328,169.77678553263345
waqd2024,NOX,µg/m³,119,119,0,5,109,7,4,1.0,31.895788226890755,232.6053
waqd2024,TEMPERATURE,c,117,111,6,28,112,1,8,-8.677083412806192,20.598759415273346,38.91666666666666
waqd2024,RELATIVEHUMIDITY,%,66,66,0,16,66,1,1,11.24000005722046,54.67800727052575,86.94461886088054
waqd2024,UM003,particles/cm³,65,65,0,16,65,1,1,84.75,5879.050139145217,24641.01025390625
waqd2024,PM2.5,ppm,6,6,0,1,6,1,1,2.0,5.733333333333333,10.4
