dataset,target,model,configuration,threshold_policy,countries,rows,mean_threshold,pr_auc,f1,recall,precision,false_alarm_rate
waqd2024,PM25_p95_rel_p90_h1,logistic_regression,Base,default_0.50,11,217,0.5,0.2913240590562065,0.1325358851674641,0.1621212121212121,0.1568793525315264,0.2838842975206611
waqd2024,PM25_p95_rel_p90_h1,logistic_regression,Base,validation_f1,11,217,0.5272727272727272,0.2913240590562065,0.1450174825174825,0.1848484848484848,0.1661149308208131,0.294674012855831
waqd2024,PM25_p95_rel_p90_h1,logistic_regression,Country-class balanced,default_0.50,11,217,0.5,0.243060141426231,0.1704665704665704,0.3833333333333333,0.1231811118174754,0.4023645546372819
waqd2024,PM25_p95_rel_p90_h1,logistic_regression,Country-class balanced,validation_f1,11,217,0.3681818181818181,0.243060141426231,0.1320219741272373,0.3151515151515152,0.091064491064491,0.5162764003673095
waqd2024,PM25_p95_rel_p90_h1,logistic_regression,Local features,default_0.50,11,217,0.5,0.2501614066186124,0.1592056932966024,0.3090909090909091,0.2103896103896103,0.3522956841138659
waqd2024,PM25_p95_rel_p90_h1,logistic_regression,Local features,validation_f1,11,217,0.4318181818181818,0.2501614066186124,0.0958041958041958,0.2727272727272727,0.0606060606060606,0.4530762167125803
waqd2024,PM25_p95_rel_p90_h1,random_forest,Base,default_0.50,11,217,0.5,0.2853179291482708,0.1625319125319125,0.1803030303030303,0.1893939393939394,0.156198347107438
waqd2024,PM25_p95_rel_p90_h1,random_forest,Base,validation_f1,11,217,0.45,0.2853179291482708,0.1613093099259107,0.2939393939393939,0.1314935064935065,0.3026629935720844
waqd2024,PM25_p95_rel_p90_h1,random_forest,Country-class balanced,default_0.50,11,217,0.5,0.2483220140799349,0.1874347377146929,0.4666666666666666,0.1314707388571024,0.427961432506887
waqd2024,PM25_p95_rel_p90_h1,random_forest,Country-class balanced,validation_f1,11,217,0.5272727272727272,0.2483220140799349,0.1173160173160173,0.3257575757575757,0.0971771450240349,0.3175390266299357
waqd2024,PM25_p95_rel_p90_h1,random_forest,Local features,default_0.50,11,217,0.5,0.2996727753203527,0.1173998044965787,0.1075757575757575,0.1590909090909091,0.1334251606978879
waqd2024,PM25_p95_rel_p90_h1,random_forest,Local features,validation_f1,11,217,0.4409090909090908,0.2996727753203527,0.1477633477633477,0.3015151515151515,0.1186258304974882,0.407208448117539
waqd2024,PM25_p95_rel_p90_h1,xgboost,Base,default_0.50,11,217,0.5,0.215862326973438,0.0,0.0,0.0,0.005050505050505
waqd2024,PM25_p95_rel_p90_h1,xgboost,Base,validation_f1,11,217,0.1409090909090909,0.215862326973438,0.1602431659249841,0.4848484848484848,0.1036543378648641,0.5928833792470156
waqd2024,PM25_p95_rel_p90_h1,xgboost,Country-class balanced,default_0.50,11,217,0.5,0.258963065980287,0.117697714471908,0.1424242424242424,0.1011363636363636,0.1786730945821854
waqd2024,PM25_p95_rel_p90_h1,xgboost,Country-class balanced,validation_f1,11,217,0.4636363636363636,0.258963065980287,0.1402541054493516,0.2939393939393939,0.111283287419651,0.2957759412304866
waqd2024,PM25_p95_rel_p90_h1,xgboost,Local features,default_0.50,11,217,0.5,0.2941915851638074,0.0,0.0,0.0,0.0101010101010101
waqd2024,PM25_p95_rel_p90_h1,xgboost,Local features,validation_f1,11,217,0.1454545454545454,0.2941915851638074,0.2028346653346653,0.4621212121212121,0.1924186039018574,0.5079430670339762
